SourceRow,StageNumber,TimeSinceStartOfTest_s,TimeSinceStartOfStage_s,ShearStrain_pct,q_kPa,p_eff_kPa,PorePressure_kPa,ExcessPorePressure_kPa,VoidRatioInitialWaterContent,VoidRatioFinalWaterContentShifted,AxialStrainRate_pct_min,ShearStrainBeforeCompliance_pct,qBeforeCompliance_kPa,pEffBeforeCompliance_kPa,PlotValid
79,11,930911,468,0.0724354574732063,42.0855928675483,387.228530955849,726.8,24.5999999999999,1.0334645604989,1.0464645604989,0.00912306636402214,0.0724354574732063,42.0855928675483,387.228530955849,1
80,11,930917,474,0.0732801858402407,42.3041507061482,387.201383568716,726.9,24.6999999999999,1.0334645604989,1.0464645604989,0.00911250725935122,0.0732801858402407,42.3041507061482,387.201383568716,1
81,11,930923,480,0.0741249142072752,42.5227048360218,387.074234945341,727.1,24.9,1.0334645604989,1.0464645604989,0.00909138905017546,0.0741249142072752,42.5227048360218,387.074234945341,1
82,11,930929,486,0.0749696425743097,42.7412552571698,387.047085085723,727.2,25,1.0334645604989,1.0464645604989,0.00909138905017546,0.0749696425743097,42.7412552571698,387.047085085723,1
83,11,930935,492,0.0758143709413442,43.0146408160997,386.738213605366,727.6,25.4,1.0334645604989,1.0464645604989,0.00911250725943416,0.0758143709413442,43.0146408160997,386.738213605366,1
84,11,930941,498,0.0766590993083786,43.2880217391221,386.429340579707,728,25.8,1.0334645604989,1.0464645604989,0.00912306636402214,0.0766590993083786,43.2880217391221,386.429340579707,1
85,11,930947,504,0.0777150097671717,43.5611941193686,386.32039803979,728.2,26,1.0334645604989,1.0464645604989,0.00912306636393916,0.0777150097671717,43.5611941193686,386.32039803979,1
86,11,930953,510,0.0785597381342062,43.8345651910874,386.011521730362,728.6,26.4,1.0334645604989,1.0464645604989,0.00913362546852704,0.0785597381342062,43.8345651910874,386.011521730362,1
87,11,930959,516,0.0794044665012407,44.0530947506509,385.984364916884,728.7,26.5,1.0334645604989,1.0464645604989,0.00913362546852704,0.0794044665012407,44.0530947506509,385.984364916884,1
88,11,930965,522,0.0802491948682752,44.3264570141453,385.975485671382,728.8,26.5999999999999,1.0334645604989,1.0464645604989,0.00914418457319815,0.0802491948682752,44.3264570141453,385.975485671382,1
89,11,930971,528,0.0810939232353096,44.5449786926658,385.548326230889,729.3,27.0999999999999,1.0334645604989,1.0464645604989,0.00917586188696207,0.0810939232353096,44.5449786926658,385.548326230889,1
90,11,930977,534,0.0821498336941027,44.8181255754205,385.539375191807,729.4,27.1999999999999,1.0334645604989,1.0464645604989,0.00917586188687861,0.0821498336941027,44.8181255754205,385.539375191807,1
91,11,930983,540,0.0829945620611372,45.0914738152942,385.830491271765,729.2,27,1.0334645604989,1.0464645604989,0.00918642099146649,0.0829945620611372,45.0914738152942,385.830491271765,1
92,11,930989,546,0.0838392904281717,45.3648174192604,385.52160580642,729.6,27.4,1.0334645604989,1.0464645604989,0.00921809830523012,0.0838392904281717,45.3648174192604,385.52160580642,1
93,11,930995,552,0.0848952008869648,45.6379480763383,385.612649358779,729.6,27.4,1.0334645604989,1.0464645604989,0.00921809830531396,0.0848952008869648,45.6379480763383,385.612649358779,1
94,11,931001,558,0.0857399292539993,45.8564484296837,385.185482809895,730.1,27.9,1.0334645604989,1.0464645604989,0.00921809830531403,0.0857399292539993,45.8564484296837,385.185482809895,1
95,11,931007,564,0.0867958397127923,46.0199030163126,384.939967672104,730.4,28.1999999999999,1.0334645604989,1.0464645604989,0.00922865740981814,0.0867958397127923,46.0199030163126,384.939967672104,1
96,11,931013,570,0.0876405680798268,46.2383959522058,384.712798650735,730.7,28.5,1.0334645604989,1.0464645604989,0.00923921651440594,0.0876405680798268,46.2383959522058,384.712798650735,1
97,11,931019,576,0.0884852964468613,46.5117170720202,384.603905690674,730.9,28.6999999999999,1.0334645604989,1.0464645604989,0.00924977561899389,0.0884852964468613,46.5117170720202,384.603905690674,1
98,11,931025,582,0.0893300248138958,46.7850335559269,384.395011185309,731.2,29,1.0334645604989,1.0464645604989,0.00924977561907801,0.0893300248138958,46.7850335559269,384.395011185309,1
99,11,931031,588,0.0903859352726889,47.0033032300375,384.367767743346,731.3,29.0999999999999,1.0334645604989,1.0464645604989,0.00926033472366592,0.0903859352726889,47.0033032300375,384.367767743346,1
100,11,931037,594,0.0912306636397233,47.2217799402542,384.240593313418,731.5,29.3,1.0334645604989,1.0464645604989,0.00928145293275752,0.0912306636397233,47.2217799402542,384.240593313418,1
101,11,931043,600,0.0922865740985164,47.4400408061406,384.21334693538,731.6,29.4,1.0334645604989,1.0464645604989,0.00929201203734539,0.0922865740985164,47.4400408061406,384.21334693538,1
102,11,931049,606,0.0931313024655509,47.6585096353144,384.286169878438,731.6,29.4,1.0334645604989,1.0464645604989,0.00929201203734539,0.0931313024655509,47.6585096353144,384.286169878438,1
103,11,931055,612,0.0937648487408268,47.8223588233432,384.140786274448,731.8,29.5999999999999,1.0334645604989,1.0464645604989,0.00930257114201795,0.0937648487408268,47.8223588233432,384.140786274448,1
104,11,931061,618,0.0948207591996199,48.0406077517673,384.113535917256,731.9,29.6999999999999,1.0334645604989,1.0464645604989,0.00932368935119396,0.0948207591996199,48.0406077517673,384.113535917256,1
105,11,931067,624,0.0956654875666543,48.2590659183536,383.886355306118,732.2,30,1.0334645604989,1.0464645604989,0.00933424845569697,0.0956654875666543,48.2590659183536,383.886355306118,1
106,11,931073,630,0.0965102159336888,48.5323478647485,383.77744928825,732.4,30.1999999999999,1.0334645604989,1.0464645604989,0.00934480756028485,0.0965102159336888,48.5323478647485,383.77744928825,1
107,11,931079,636,0.0975661263924819,48.8054101421894,383.768470047396,732.5,30.3,1.0334645604989,1.0464645604989,0.00935536666487286,0.0975661263924819,48.8054101421894,383.768470047396,1
108,11,931085,642,0.0984108547595164,48.9690293463696,383.223009782123,733.1,30.9,1.0334645604989,1.0464645604989,0.00935536666495795,0.0984108547595164,48.9690293463696,383.223009782123,1
109,11,931091,648,0.0992555831265509,49.1874717508699,383.195823916957,733.2,31,1.0334645604989,1.0464645604989,0.00935536666495788,0.0992555831265509,49.1874717508699,383.195823916957,1
110,11,931097,654,0.100311493585344,49.3508687363467,383.050289578782,733.4,31.1999999999999,1.0334645604989,1.0464645604989,0.00935536666487279,0.100311493585344,49.3508687363467,383.050289578782,1
111,11,931103,660,0.101156221952378,49.5693037233948,382.823101241132,733.7,31.5,1.0334645604989,1.0464645604989,0.0093659257694606,0.101156221952378,49.5693037233948,382.823101241132,1
112,11,931109,666,0.102212132411172,49.8423422418089,383.014114080603,733.6,31.4,1.0334645604989,1.0464645604989,0.00938704397863642,0.102212132411172,49.8423422418089,383.014114080603,1
113,11,931115,672,0.103056860778206,50.0607688842235,382.586922961408,734.1,31.9,1.0334645604989,1.0464645604989,0.00939760308330984,0.103056860778206,50.0607688842235,382.586922961408,1
114,11,931121,678,0.104112771236999,50.2789736556276,382.659657885209,734.1,31.9,1.0334645604989,1.0464645604989,0.00939760308330977,0.104112771236999,50.2789736556276,382.659657885209,1
115,11,931127,684,0.104746317512275,50.4976110428743,382.332537014291,734.5,32.3,1.0334645604989,1.0464645604989,0.00940816218781225,0.104746317512275,50.4976110428743,382.332537014291,1
116,11,931133,690,0.105802227971068,50.6609850806083,382.186995026869,734.7,32.5,1.0334645604989,1.0464645604989,0.00941872129240012,0.105802227971068,50.6609850806083,382.186995026869,1
117,11,931139,696,0.106858138429861,50.8791774509598,382.059725816987,734.9,32.6999999999999,1.0334645604989,1.0464645604989,0.00941872129240012,0.106858138429861,50.8791774509598,382.059725816987,1
118,11,931145,702,0.107914048888654,51.0425439553439,381.814181318448,735.2,33,1.0334645604989,1.0464645604989,0.00942928039707383,0.107914048888654,51.0425439553439,381.814181318448,1
119,11,931151,708,0.108758777255689,51.3157686482798,381.705256216093,735.4,33.1999999999999,1.0334645604989,1.0464645604989,0.00942928039707383,0.108758777255689,51.3157686482798,381.705256216093,1
120,11,931157,714,0.109603505622723,51.5341684024304,381.778056134143,735.4,33.1999999999999,1.0334645604989,1.0464645604989,0.009429280396988,0.109603505622723,51.5341684024304,381.778056134143,1
121,11,931163,720,0.110659416081516,51.6975234329432,381.932507810981,735.3,33.0999999999999,1.0334645604989,1.0464645604989,0.00943983950157587,0.110659416081516,51.6975234329432,381.932507810981,1
122,11,931169,726,0.111504144448551,51.9159157696413,381.505305256547,735.8,33.5999999999999,1.0334645604989,1.0464645604989,0.00943983950157601,0.111504144448551,51.9159157696413,381.505305256547,1
123,11,931175,732,0.112348872815585,52.0794856014054,381.659828533802,735.7,33.5,1.0334645604989,1.0464645604989,0.0094398395016618,0.112348872815585,52.0794856014054,381.659828533802,1
124,11,931181,738,0.113404783274378,52.2428303170241,381.314276772341,736.1,33.9,1.0334645604989,1.0464645604989,0.00945039860624963,0.113404783274378,52.2428303170241,381.314276772341,1
125,11,931187,744,0.114249511641413,52.4063942380058,381.368798079335,736.1,33.9,1.0334645604989,1.0464645604989,0.00947151681533957,0.114249511641413,52.4063942380058,381.368798079335,1
126,11,931193,750,0.115305422100206,52.6793666947365,381.259788898245,736.3,34.0999999999999,1.0334645604989,1.0464645604989,0.00947151681533964,0.115305422100206,52.6793666947365,381.259788898245,1
127,11,931199,756,0.11615015046724,52.8977404878042,381.032580162601,736.6,34.4,1.0334645604989,1.0464645604989,0.00948207591992752,0.11615015046724,52.8977404878042,381.032580162601,1
128,11,931205,762,0.117206060926033,53.1158863831818,380.705295461061,737,34.8,1.0334645604989,1.0464645604989,0.00950319412918977,0.117206060926033,53.1158863831818,380.705295461061,1
129,11,931211,768,0.118261971384827,53.279212091579,380.65973736386,737.1,34.9,1.0334645604989,1.0464645604989,0.0095031941291897,0.118261971384827,53.279212091579,380.65973736386,1
130,11,931217,774,0.119106699751861,53.442759207396,380.614253069132,737.2,35,1.0334645604989,1.0464645604989,0.0095031941291032,0.119106699751861,53.442759207396,380.614253069132,1
131,11,931223,780,0.119951428118896,53.6611181655592,380.38703938852,737.5,35.3,1.0334645604989,1.0464645604989,0.00951375323369122,0.119951428118896,53.6611181655592,380.38703938852,1
